Transcript,SRR27137980,SRR27137981,SRR27137982,SRR27137983,SRR27137984,SRR27137985,SRR27137986,SRR27137987,SRR27137988,SRR27137989,SRR27137990,SRR27137991,SRR27137992,SRR27137993,SRR27137994,SRR27137995,SRR27137996,SRR27137997
ESW14135,873.678,724.576,858.933,903.689,886.695,1207.32,849.189,1111.199,1171.018,851.204,718.503,1028.342,916.129,1118.973,689.864,1007.848,822.308,925.077
ESW11785,35,20,33,47.132,40,26,21,38.016,29.309,14,21,23.001,24,36.04,31.039,44.087,30.006,37
ESW12950,0,0,0,1,2,1,2,1,1,0,0,1,0,4,0,0,0,0
ESW13372,0,0,1,2.031,0,4.019,3,3,1,0,0,4,1,0,0,0,0,3.555
ESW13371,0,3,0,1.969,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW11111,96,81.461,97.416,114.366,59.28,129.033,104.762,183.584,126.679,102.013,81.116,162.08,139.358,165.279,69,113,127.067,154.223
ESW11862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW12204,1295.679,1280.263,1293.925,1535.606,1210.116,1667.452,1207.81,1708.07,1530.123,1134.08,1039.611,1518.873,1371.898,1628.435,1056.756,1500.515,1449.498,1509.337
ESW14097,438.39,589.278,571.166,630.038,683.009,451.112,270.948,693.782,317.771,190,240,450.136,395.9,463.868,194.474,447.64,625.035,687.916
ESW13945,85,68.56,58,55.021,64,70.076,84.062,72,53.006,45,35,71,57.185,67.198,37,85.095,52.129,78.44
ESW13633,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ESW12887,662.084,505.197,590.257,599.167,474.208,685.462,549.15,691.627,780.262,557.156,520.068,701.401,598.098,679.165,459.962,692.188,625.986,602.385
ESW12886,417.242,378.505,479.345,369.857,424.316,562.534,383.279,419.962,537.535,395.911,367.607,407.34,411.412,559.643,323.289,456.122,318.931,426.23
ESW12684,530.777,454.773,433.051,495.288,382.389,459.908,355.136,692.308,413.358,307,286.002,441.29,430.879,497.066,283,499.239,509.82,547.622
ESW13951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW11538,202,150.343,181.33,155.127,221.562,158,136.106,181.901,192.956,184,174,181.403,145.723,186.959,214,233,176.744,164.981
ESW11925,76.002,0,99.666,0,136.313,47.341,35.648,40.344,50.301,53.001,48.219,0,49.518,90.963,0,0,0,0
ESW11926,0,80.158,13.863,88.902,13.451,0,17.703,45.841,15.743,0,15.928,92.388,15.775,14.021,78.99,96.652,64.001,110.983
ESW12084,102.64,59.239,75.086,58.983,87.579,66.999,48,106.079,73.511,57.526,58.026,74.652,74.816,82.379,76.001,118.906,72.324,89.652
ESW12182,7,8,5.001,6,4,2.014,9.84,10,5,1,6,6,3.001,0,3,3.009,6,5
ESW12142,1134.1,940.281,998.496,792.87,1035.412,827.226,914.425,1122.416,1060.844,863.606,862.417,1132.537,1014.943,1157.608,995.832,1260.631,962.578,1095.055
ESW11773,159,120.898,166.957,154.432,172.321,162.754,114.675,166.787,157.287,116.006,102,188.201,157.458,179.079,117,193.539,139.674,161.563
ESW11142,228.531,154.093,175.051,178.757,176.15,253.664,186.719,225.044,231.53,206.538,180.981,218.04,222.789,238.791,132.76,198.888,210.094,205.81
ESW11143,25.469,28.384,41.584,30.486,51.653,37.856,34.838,29.591,35.124,14.462,25.188,45.96,22.706,38.365,22.398,25.159,20.422,45.885
ESW13615,54,46.034,62.231,64.061,71.224,54.308,35,42.387,64.554,40,55,51.136,43.042,43.031,55,62.576,43.055,31.106
ESW12836,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW13067,131.663,105.651,117.331,106.142,96.433,92.677,67.295,102.695,122.021,91,54.156,94.872,79.674,106.265,48,89.713,95.723,118.477
ESW12492,221.289,161.16,195.81,176.753,341.659,291.898,252.702,194.706,525.545,414.992,337.202,303.177,268.258,308.491,364.206,396.461,168.167,165.917
